mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death
Hélène Esnault,"['mathematician', 'university teacher']","['France', 'Germany']",Paris,,['Paris Diderot University'],['University of Duisburg-Essen'],,"['German Academy of Sciences Leopoldina', 'North Rhine-Westphalia Academy for Sciences and Arts', 'Berlin-Brandenburg Academy of Sciences and Humanities', 'Academia Europaea']",['University of Duisburg-Essen'],['Lê Dũng Tráng'],['German'],['doctoral degree'],,,,,"['Gottfried Wilhelm Leibniz Prize', 'Eckart Viehweg', '2003']",,['human'],['female'],False,17,July,1953,False,,,
Bernadette Perrin-Riou,['mathematician'],['France'],Les Vans,,,,,,,,['French'],,,,,,,,['human'],['female'],False,1,August,1955,False,,,
Hugo Rossi,"['mathematician', 'university teacher']",['United States of America'],Boston,,,,,['American Mathematical Society'],,,,,,,,,,['3±0'],['human'],['male'],False,17,April,1935,False,,,
Heinrich Bruns,"['mathematician', 'astronomer', 'university teacher']","['German Empire', 'Kingdom of Saxony']",Berlin,23 September 1919,['Frederick William University'],['Leipzig University'],['Leipzig'],"['Saxon Academy of Sciences', 'German Academy of Sciences Leopoldina', 'Göttingen Academy of Sciences', 'Royal Swedish Academy of Sciences', 'Hungarian Academy of Sciences', 'Prussian Academy of Sciences']",['Leipzig University'],"['Karl Weierstraß', 'Ernst Kummer']",['German'],,,,,,,,['human'],['male'],False,4,September,1848,False,23,September,1919
Henry Wilbraham,['mathematician'],,,13 February 1883,['Trinity College'],,,,,,,,,,,['mathematical analysis'],,,['human'],['male'],False,25,July,1825,False,13,February,1883
Józef Buzek,"['economist', 'politician', 'statistician', 'lawyer']",['Poland'],Konská,22 September 1936,['Jagiellonian University'],,['Cieszyn'],,,,,,,,,,,,['human'],['male'],False,16,November,1873,False,22,September,1936
Simon B. Kochen,['mathematician'],['United States of America'],Antwerp,,,,,,,,,,,,,['model theory'],"['John Simon Guggenheim Memorial Foundation Fellowship', 'Cole Prize in Number Theory']",['2±0'],['human'],['male'],False,14,August,1934,False,,,
Alfred Inselberg,[''],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Elizabeth Sparrow,['computer scientist'],,,,"['University of Sheffield', 'University of Southampton']",,,,,,,,,,,,,,['human'],['female'],False,,,,False,,,
Bernhard Neumann,"['mathematician', 'university teacher']","['Germany', 'Australia']",Berlin,21 October 2002,,['University of Manchester'],['Canberra'],"['Royal Society', 'Australian Academy of Science']",['University of Manchester'],['Issai Schur'],['English'],,,,,['group theory'],"['Fellow of the Royal Society', 'Companion of the Order of Australia', '10 June 1994']",['2±0'],['human'],['male'],False,15,October,1909,False,21,October,2002
Stephanie Singer,['politician'],['United States of America'],,,['Yale University'],,,,,,,,,,,,,,['human'],['female'],False,,,,False,,,
T. O. Engset,['mathematician'],['Norway'],,October 1943,,,"['Oslo', 'Norway']",,,,,,,,,['queueing theory'],,,['human'],['male'],False,8,May,1865,False,,October,1943
Gustavo Colonnetti,"['mathematician', 'civil engineer', 'engineer', 'politician']",['Italy'],Turin,20 March 1968,,,['Turin'],,,,['Italian'],,,,['member of the Chamber of Deputies of the Italian Republic'],,,,['human'],['male'],False,8,November,1886,False,20,March,1968
Peter Whittle (mathematician),"['mathematician', 'statistician', 'university teacher']",['New Zealand'],Wellington,,['Uppsala University'],['University of Manchester'],,['Royal Society'],['University of Manchester'],['Herman Wold'],['English'],['doctoral degree'],,,,['probability theory'],"['Fellow of the Royal Society', 'John von Neumann Theory Prize', '1997']",,['human'],['male'],False,27,February,1927,False,,,
Sakabe Kōhan,['mathematician'],['Japan'],Edo,16 September 1824,,,['Edo'],,,,,,,,,['Japanese mathematics'],,,['human'],['male'],False,,,1759,False,16,September,1824
Heinrich Martin Weber,"['mathematician', 'university teacher']",['German Empire'],Heidelberg,17 May 1913,"['University of Göttingen', 'Heidelberg University']",['Technical University of Berlin'],['Strasbourg'],"['Göttingen Academy of Sciences', 'Royal Swedish Academy of Sciences', 'Prussian Academy of Sciences', 'German Academy of Sciences Leopoldina']",['Technical University of Berlin'],['Otto Hesse'],['German'],,,,,"['Q3968', 'number theory']",,,['human'],['male'],False,5,March,1842,False,17,May,1913
Vladimir Mironenko,['mathematician'],"['Soviet Union', 'Belarus']",Q20663765,,,,,,,,,,,,,['differential equation'],,,['human'],['male'],False,9,February,1942,False,,,
Ibn Muʿādh al-Jayyānī,"['mathematician', 'qadi']",,Jaén,1050,,,['Jaén'],,,,,,,,,,,,['human'],['male'],False,,,989,False,,,1050
Elliot Koffman,"['mathematician', 'computer scientist']",['United States of America'],Boston,,,,,,,,,,,,,,,,['human'],['male'],False,7,May,1942,False,,,
Conrad Habicht,[''],['Switzerland'],,23 October 1958,,,,,,,,,,,,,,,['human'],['male'],False,28,December,1876,False,23,October,1958
Raghavan Narasimhan,['mathematician'],['India'],India,3 October 2015,,['University of Chicago'],,,['University of Chicago'],,['English'],,,,,,,,['human'],['male'],False,31,August,1937,False,3,October,2015
Anders Hald,"['mathematician', 'historian', 'statistician']",['United States of America'],,11 November 2007,,,,,,,,,,,,,,,['human'],['male'],False,3,July,1913,False,11,November,2007
John Machin,"['mathematician', 'astronomer']",['United Kingdom'],England,9 June 1751,,,['London'],['Royal Society'],,,,,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,,,1680,False,9,June,1751
Steffen Lauritzen,['statistician'],,,,['University of Copenhagen'],,,['Royal Society'],,,,,,,,,,,['human'],['male'],False,,,,False,,,
Wim Cohen,"['mathematician', 'university teacher']",['Kingdom of the Netherlands'],Leeuwarden,12 November 2000,['Delft University of Technology'],['Utrecht University'],['The Hague'],,['Utrecht University'],['Warner T. Koiter'],,,,,,['queueing theory'],,,['human'],['male'],False,27,August,1923,False,12,November,2000
Ibn Sahl,['mathematician'],['Arab'],,1000,,,,,,,,,,,,,,,['human'],['male'],False,,,940,False,,,1000
Johannes von Gmunden,"['astronomer', 'mathematician', 'university teacher', 'astrologer']",,Gmunden,23 February 1442,,['University of Vienna'],['Vienna'],,['University of Vienna'],['Henry of Langenstein'],,,,,,,,,['human'],['male'],False,,,1380,False,23,February,1442
Aleksey Letnikov,['mathematician'],['Soviet Union'],Moscow,11 March 1888,"['University of Paris', 'Moscow State University', 'Q4231456']",,['Moscow'],['Russian Academy of Sciences'],,['Moritz Wilhelm Drobisch'],['Russian'],,,,,"['analytic geometry', 'differential equation']",,,['human'],['male'],False,13,January,1837,False,11,March,1888
Ernst Hellinger,['mathematician'],['Germany'],Strzegom,28 March 1950,['University of Göttingen'],['Northwestern University'],['Chicago'],,['Northwestern University'],['David Hilbert'],['German'],,,,,,,,['human'],['male'],False,30,September,1883,False,28,March,1950
Svetlozar Rachev,['mathematician'],,Pleven,,,,,,,['Leonid Kantorovich'],,,,,,,,,['human'],['male'],False,6,September,1951,False,,,
Amy Ellis,[''],,,,,['University of Wisconsin–Madison'],,,['University of Wisconsin–Madison'],,,,,,,,,,['human'],['female'],False,,,,False,,,
Joanne Martin,[''],,,,,,,,,,,,,,,,,,['human'],['female'],False,,,,False,,,
Andrei Bolibrukh,"['mathematician', 'university teacher']",['Russia'],"Moscow, Russian Soviet Federative Socialist Republic, Soviet Union",11 November 2003,['Moscow State University'],['Steklov Institute of Mathematics'],"['Paris', 'France']",['Russian Academy of Sciences'],['Steklov Institute of Mathematics'],['Mikhail Postnikov'],['Russian'],['Doctor of Sciences in Physics and Mathematics'],,,,"['mathematical analysis', 'differential equation', 'topology']",,['3±0'],['human'],['male'],False,30,January,1950,False,11,November,2003
Marion Scheepers,[''],,,,['University of Kansas'],,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Flora Philip,['mathematician'],['Scotland'],Isle of Mull,14 August 1943,['University of Edinburgh'],,['Edinburgh'],,,,,,,,,,,,['human'],['female'],False,19,May,1865,False,14,August,1943
Charles Newton Little,[''],,,1923,"['University of Nebraska–Lincoln', 'Yale University']",['Stanford University'],,,['Stanford University'],,,,,,,,,,['human'],['male'],False,,,1858,False,,,1923
George H. Bryan,"['aerospace engineer', 'mathematician', 'physicist', 'engineer']",['United Kingdom'],Cambridge,13 October 1928,,,['Bordighera'],['Royal Society'],,,,,,,,,['Fellow of the Royal Society'],,['human'],['male'],False,1,March,1864,False,13,October,1928
Arthur Milgram,"['mathematician', 'topologist']",['United States of America'],Philadelphia,30 January 1961,['University of Pennsylvania'],"['University of Minnesota', 'University of Notre Dame', 'Syracuse University']",,,"['University of Minnesota', 'University of Notre Dame', 'Syracuse University']",,,,,,,"['mathematical analysis', 'combinatorics', 'differential geometry', 'topology']",,,['human'],['male'],False,3,June,1912,False,30,January,1961
Susan Howson,['mathematician'],['United Kingdom'],,,,,,,,['John H. Coates'],,,,,,,,['3±0'],['human'],['female'],False,,,1973,False,,,
Radoslav Harman,[''],,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Haynes Miller,"['mathematician', 'university teacher']",['United States of America'],Princeton,,['Harvard University'],,,['American Mathematical Society'],,['John Coleman Moore'],,,,,,,,['3±0'],['human'],['male'],False,,,1948,False,,,
Gang Tian,"['mathematician', 'university teacher']","[""People's Republic of China""]",Nanjing,,"['Peking University', 'Harvard University']",['Princeton University'],,"['Chinese Academy of Sciences', 'American Academy of Arts and Sciences']",['Princeton University'],['Shing-Tung Yau'],,,,,,,"['Oswald Veblen Prize in Geometry', '1996', 'Alan T. Waterman Award', '1994']",,['human'],['male'],False,24,November,1958,False,,,
Noah Bridges,['mathematician'],,,,['Balliol College'],,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Christian Zeller,['mathematician'],['Germany'],Q733332,1899,,,['Bad Cannstatt'],,,,,,,,,,,,['human'],['male'],False,,,1822,False,,,1899
Boris Chirikov,"['physicist', 'theoretical physicist']","['Soviet Union', 'Russia']",Oryol,12 February 2008,['Moscow Institute of Physics and Technology'],['Budker Institute of Nuclear Physics'],['Novosibirsk'],"['Russian Academy of Sciences', 'Academy of Sciences of the USSR']",['Budker Institute of Nuclear Physics'],,,['Doctor of Sciences in Physics and Mathematics'],,,,['nuclear physics'],"['Order of Honour', 'Order of the Red Banner of Labour', 'Order of the Badge of Honour']",,['human'],['male'],False,6,June,1928,False,12,February,2008
Alexander Kuznetsov (mathematician),['mathematician'],['Russia'],Moscow,,['Moscow State University'],['National Research University – Higher School of Economics'],,,['National Research University – Higher School of Economics'],['Q15782311'],,['Doctor of Sciences in Physics and Mathematics'],,,,['algebraic geometry'],"['Russian Federation President Prize in Science and Innovation for Young Scientists', '2008']",,['human'],['male'],False,1,November,1973,False,,,
Rod Driver,"['mathematician', 'politician']",['United States of America'],London,,['University of Minnesota'],,,,,,['English'],,,,,,,,['human'],['male'],False,1,July,1932,False,,,
Hans Werner Ballmann,"['mathematician', 'university teacher']",['Germany'],,,,['University of Bonn'],,['German Academy of Sciences Leopoldina'],['University of Bonn'],['Wilhelm Klingenberg'],['German'],['doctoral degree'],,,,,"['Gauss Lectureship', '2017']",,['human'],['male'],False,,,1951,False,,,
Mark Naimark,['mathematician'],"['Ukraine', 'Soviet Union']",Odessa,30 December 1978,,,['Moscow'],,,,,['Doctor of Sciences in Physics and Mathematics'],,,,"['representation theory', 'Lie group']",,,['human'],['male'],False,5,December,1909,False,30,December,1978
Teodor von Burg,['mathematician'],['Serbia'],Belgrade,,,,,,,,,,,,,,,,['human'],['male'],False,26,January,1993,False,,,
Hermann Kober,['mathematician'],,Bytom,4 October 1973,,,['Birmingham'],,,,,,,,,,,,['human'],['male'],False,,,1888,False,4,October,1973
Yujiro Kawamata,['mathematician'],['Japan'],Tokyo,,,['University of Tokyo'],,,['University of Tokyo'],,,,,,,,,,['human'],['male'],False,,,1952,False,,,
Jacques F. Benders,"['mathematician', 'university teacher']",['Kingdom of the Netherlands'],Swalmen,9 January 2017,['Utrecht University'],['Eindhoven University of Technology'],['Eindhoven'],,['Eindhoven University of Technology'],,,,,,,,,,['human'],['male'],False,,,1925,False,9,January,2017
Igor Kluvánek,['mathematician'],['Australia'],Košice,24 July 1993,,,['Bratislava'],,,,['English'],,,,,"['mathematical analysis', 'functional analysis']",,,['human'],['male'],False,27,January,1931,False,24,July,1993
Haim Hanani,"['mathematician', 'university teacher']",['Poland'],Słupca,31 January 1995,,,,,,,,,,,,,,['1±0'],['human'],['male'],False,11,September,1912,False,31,January,1995
Zygmunt Wilhelm Birnbaum,"['mathematician', 'statistician']","['Ukraine', 'United States of America']",Lviv,15 December 2000,,,['United States of America'],,,['Hugo Steinhaus'],,,,,,,['John Simon Guggenheim Memorial Foundation Fellowship'],,['human'],['male'],False,18,October,1903,False,15,December,2000
Col Hutchinson,"['historian', 'statistician', 'Australian rules footballer']",,,,,,,,,,,,,,,,,,['human'],['male'],False,,,,False,,,
Heinz-Dieter Ebbinghaus,"['mathematician', 'historian of mathematics', 'philosopher', 'university teacher']",['Germany'],Hemer,,,['University of Freiburg'],,,['University of Freiburg'],,['German'],['doctoral degree'],,,,"['model theory', 'set theory']",,,['human'],['male'],False,22,February,1939,False,,,
Charles B. Morrey Jr.,"['mathematician', 'university teacher']",['United States of America'],Columbus,29 April 1984,"['Harvard University', 'Ohio State University']","['University of California, Berkeley']",,"['National Academy of Sciences', 'American Academy of Arts and Sciences']","['University of California, Berkeley']",['George David Birkhoff'],,['doctoral degree'],,,,"['mathematical analysis', 'partial differential equation']",,,['human'],['male'],False,23,July,1907,False,29,April,1984
Dennis Gaitsgory,"['mathematician', 'university teacher']",['United States of America'],Chișinău,,['Tel Aviv University'],"['Harvard University', 'University of Chicago']",,,"['Harvard University', 'University of Chicago']",['Joseph Bernstein'],,,,,,,,,['human'],['male'],False,,,1973,False,,,
Ole Michael Ludvigsen Selberg,['mathematician'],['Norway'],,11 December 1950,['University of Oslo'],,['Voss'],,,,,,,,,,['Bastian Prize'],,['human'],['male'],False,7,October,1877,False,11,December,1950
Theodore Seio Chihara,['mathematician'],['United States of America'],,,,,,,,,,,,,,,,,['human'],['male'],False,,,1929,False,,,
William Sealy Gosset,"['statistician', 'mathematician']",['United Kingdom'],Canterbury,16 October 1937,"['Winchester College', 'New College']",['Guinness'],['Beaconsfield'],,['Guinness'],,['English'],,,['natural causes'],,['mathematical statistics'],,,['human'],['male'],False,13,June,1876,False,16,October,1937
